휴양림명,시도명,휴양림구분,휴양림면적,수용인원수,입장료,숙박가능여부,주요시설명,소재지도로명주소,관리기관명,휴양림전화번호,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
용인자연휴양림,경기도,공유림,1622705,1800,"개인(성인:2000원, 청소년:1000원, 어린이:600원), 단체(성인:1600원, 청소년:800원, 어린이:400원)",Y,"숲속의집, 숲속체험관, 목조주택, 생태습지, 야영장, 잔디광장, 짚라인, 목재문화체험관 등",경기도 용인시 처인구 모현면 초부로 220,용인시/용인도시공사위탁운영,031-336-0040,www.yonginforest.net,37.314713,127.265315,2019-04-10,4050000,경기도 용인시
춘천숲자연휴양림,강원도,공유림,808043,400,일반2000원 단체1500원,Y,숲속의 집 산림휴양관 글램핑장,강원도 춘천시 동산면 종자리로 224-104,강원도 춘천시청,033-264-1156,www.ccforest.or.kr,37.752287,127.796282,2019-07-24,4180000,강원도 춘천시
구례산수유자연휴양림,전라남도,공유림,118909,66,"1,000원",Y,"산림휴양관, 숲속의 집",전라남도 구례군 산동면 정산길 251,구례군,061-780-2897,http://ecopark.gurye.go.kr,35.301593,127.462833,2019-06-26,4870000,전라남도 구례군
대운산자연휴양림,경상남도,공유림,2137479,200,무료,Y,"숲속의집, 산림휴양관, 야영데크 등",경상남도 양산시 탑골길 208-124,양산시시설관리공단,055-379-8670,http://www.yssisul.or.kr/dwhuyang/cmm/main/mainPage.do,35.409862,129.208082,2019-06-27,5380000,경상남도 양산시
두루웰자연휴양림,강원도,공유림,1864000,100,"개인(일반1000, 청소년600, 어린이300)단체(일반 700, 청소년400, 어린이200)",Y,"숲속의집, 트리하우스",강원도 철원군 갈말읍 지경1길 69,강원도 철원군청 녹색성장과,033-450-5198,www.foresttrip.go.kr,38.227936,127.353297,2019-07-01,4300000,강원도 철원군
오도산 자연휴양림,경상남도,공유림,2700000,1000,"1,000원",Y,"숲속의집,청소년수련관,야영데크,취사장,관리사무소,물놀이장 등",경상남도 합천군 봉산면 오도산휴양로 398,합천군청,055-930-3733,http://ohdosan.hc.go.kr/,35.6684579,128.0531976,2019-06-21,5480000,경상남도 합천군
흥부골자연휴양림,전라북도,공유림,1004157,60,무료,Y,"숲속의집, 단체수련동, 캠핑장 등",전라북도 남원시 인월면 구인월길 125,전라북도 남원시청,063-636-4032,,35.460967,127.417434,2019-06-10,4700000,전라북도 남원시
여수봉황산자연휴양림,전라남도,공유림,2290000,100,1000원,Y,"숲속의집,야영장 등",전라남도 여수시 돌산읍 대복길160,전라남도 여수시청,061-643-9180,http://okyeosu.go.kr,34.3649881,127.4528521,2019-06-04,4810000,전라남도 여수시
칼봉산자연휴양림,경기도,공유림,2640000,160,0,Y,"숲속의집, 산림휴양관, 생태숲, 생태체험학습장, 야영장 등",경기도 가평군 가평읍 경반안로 454,가평군 시설관리공단,031-8078-8061,www.kalbong.com,37.8365339,127.4650719,2019-05-10,4160000,경기도 가평군
광치자연휴양림,강원도,공유림,51,160,"일반:2000원, 청소년:1500원, 단체일반:1500원, 단체청소년:1000원",Y,"휴양관, 숲속의집, 숲속카페, 트리하우스,",강원도 양구군 남면 광치령로 1794번길 265,양구군청,033-482-3115,http://www.kwangchi.or.kr/,38.143507,128.071262,2018-08-29,4320000,강원도 양구군
망경대산자연휴양림,강원도,국유림,51,4,3000,Y,숲속의집,강원도 영월군 중동면 선도우길 177,영월군시설관리공단,033-375-8765,https://www.mgds.kr:454/,37.171207,128.591988,2018-08-24,4270000,강원도 영월군
구재봉 자연휴양림,경상남도,공유림,433135,300,일반:1000원청소년600원어린이:300원,Y,"산림문화휴양관,숲속의집,짚라인",경상남도 하동군 적량면 중서길 60-79,경상남도 하동군청,070-8855-0011,hadongforest.co.kr,35.127983,127.738537,2018-06-14,5440000,경상남도 하동군
축령산,전라남도,국유림,3730000,900,없음,N,"치유의숲 안내센터, 전망대 등",전라남도 장성군 북이면 추암로 555,치유의숲안내센터,061-393-1777,없음,35.360934,126.728553,2018-05-16,4980000,전라남도 장성군
방장산자연휴양림,전라남도,국유림,70000,500,"일반 : 1,000원+단체 : 800원",Y,"숲속의 집, 산림문화휴양관, 세미나실, 숲속공예마을(체험) 등",전라남도 장성군 북이면 방장로 353,국립자연휴양림관리소,061-394-5523,http://www.huyang.go.kr/forest/contentIntro.action?dprtmId=0181,35.445892,126.751597,2018-05-16,4980000,전라남도 장성군
민주지산자연휴양림,충청북도,공유림,1800000,394,"어른 1,000원, 청소년 500원 , 어린이 300원",Y,"버섯동,야생화동,국악동,식당, 황토방, 황토찝질방, 학습관, 너와집,산림문화휴양관1,2층 세미나실,치유숙소6개소,치유센터,진료동, 치유센터치유동,야외 치유시설, 야영장, 족구장 등",충청북도 영동군 용화면 조동리 민주지산로 60,충청북도 영동군청 산림과,043-740-3438,minjoo.cbhuyang.go.kr:452,36.0573434,127.8251649,2018-04-30,4440000,충청북도 영동군
세심자연휴양림,전라북도,공유림,101000,68,"1,000원",Y,숲속의집,전라북도 임실군 삼계면 임삼로 485,임실군청,063-644-4611,http://smhu.imsil.go.kr,35.5142625738,127.2400790952,2020-04-03,6450000,전라북도
회문산자연휴양림,전라북도,국유림,289000,300,"일반 : 1,000원, 청소년 : 600원, 어린이 : 300원",Y,"숲속의집, 산림문화 휴양관, 야영시설",전라북도 순창군 구림면 안심길 214,국립자연휴양림관리소,063-653-4779,http://www.huyang.go.kr,35.4982995651,127.1216073929,2020-04-03,6450000,전라북도
고산자연휴양림,전라북도,공유림,672000,297,"2,000원",Y,"숲속의집, 문화휴양관, 산림휴양관, 웰빙휴양관, 캐라반, 에코어드벤처, 다목적운동장",전라북도 완주군 고산면 고산휴양림로 246,완주군청,063-263-8680,http://rest.wanju.go.kr,35.9622406976,127.2328739836,2020-04-03,6450000,전라북도
변산자연휴양림,전라북도,국유림,37000,500,"일반 : 1,000원,단체 : 800원,청소년 : 600원/단체 500원,어린이 : 300원/단체 : 200원",Y,"숲속의집, 산림문화 휴양관",전라북도 부안군 변산면 변산로 3768,국립자연휴양림관리소,063-581-9977,http://www.huyang.go.kr,35.5828778124,126.5237279872,2020-04-03,6450000,전라북도
남원흥부골자연휴양림,전라북도,공유림,100000,70,"일반 : 2,000원,단체 : 1,000원,어린이 : 1,000원/단체 : 500원",Y,"숲속의집, 연립동, 물놀이장, 오토캠프장, 체육공원",전라북도 남원시 인월면 구인월길 125,남원시청,063-636-4032,http://흥부골자연휴양림.kr,35.4505033068,127.5896357155,2020-04-03,6450000,전라북도
남원자연휴양림,전라북도,사유림,34000,300,"일반 : 1,000원,청소년/어린이 : 500원",Y,"숲속의집, 연립동, 캠핑장",전라북도 남원시 보산로 228,남원자연휴양림(한정희),063-633-5333,http://www.namwonhuyang.co.kr,35.4581178020,127.4155073847,2020-04-03,6450000,전라북도
성수산자연휴양림,전라북도,사유림,495000,80,"일반 : 2,000원,단체 : 1,000원,청소년 : 1,000원/단체 : 500원,어린이 : 1,000원/단체 : 500원",Y,"숲속의집, 연립동, 운동장, 전망대, 꽃동산, 편백나무산림욕장",전라북도 임실군 성수면 성수산길 374,임실군청,063-642-9456,http://www.sungsusan.co.kr,35.6377177747,127.4078498301,2020-04-03,6450000,전라북도
향로산자연휴양림,전라북도,공유림,269000,172,"일반 : 1,000원,단체 : 800원,청소년 군인: 800원/단체 : 500원,어린이 : 500원/단체 : 300원,  주차료 경형 1,500/ 중.소형 3,000원 / 대형 5,000원",Y,"숲속나무집, 동굴집, 가족휴양관, 산림휴양관, 방문자센터, 쉼터, 주차장, 야외수영장, 모노레일 등",전라북도 무주군 무주읍 무학로 153-36,유한회사 무주휴,063-322-6884,http://mujuhayngrosan.kr,36.0241399489,127.6698792636,2020-04-03,6450000,전라북도
서운산자연휴양림,경기도,공유림,851805,214,N,Y,"숲속의집, 오토캠핑장, 야영장, 카라반",경기도 안성시 금광면 배티로 185-39,경기도 안성시청,031-678-2913,https://www.anseong.go.kr/tourPortal/anseongforest/main.do,36.9423831667,127.313722,2020-03-31,4080000,경기도 안성시
계명산자연휴양림,경상북도,공유림,2500000,221,일반1000원+단체800원(어른),Y,"숲속의 집, 황토방, 산림휴양관, 복합산림휴양관, 산막, 야영장 등",경상북도 안동시 길안면 고란길 207-99,경상북도 안동시청 공원녹지과,054-850-4700,www.andongtour.com,36.4101205551,128.9465131425,2020-03-25,5070000,경상북도 안동시
입화산 자연휴양림,울산광역시,공유림,380291,0,없음,N,"오토캠핑장, 일반야영장, 산림욕장, 숲속도서관, 네이처스포츠, 모노레일",울산광역시 중구 다운동 산47-1번지,울산광역시 중구,052-290-4410,준비 중,35.578739,129.279479,2020-03-18,3690000,울산광역시 중구
수도산자연휴양림,경상북도,공유림,590445,206,1000,Y,숲속의집힐하우스숲속휴양관 숲속수련관,경상북도 김천시 대덕면 증산로 326-71,김천시,054-435-5128,sudosanhuyang.gc.go.kr,35.8918024,127.9838463,2020-03-24,5060000,경상북도 김천시
청송자연휴양림,경상북도,공유림,2110000,160,"개인:어른(1000), 청소년(600), 어린이(300), 단체:어른(800), 청소년(500), 어린이(200)",Y,"숲속의 집, 연수의집",경상북도 청송군 부남면 청송로 3478-96,경상북도 청송군청,054-872-3163,www.csforest.co.kr,36.3179022973,129.0537597527,2020-03-20,5160000,경상북도 청송군
수레의산자연휴양림,충청북도,공유림,970000,144,무료+숙박시설별도,Y,"숙박시설, 캠핑장, 산책로, 화장실 등",충청북도 음성군 생극면 차생로 310-108,충청북도 음성군,043-878-2013,www.eumseong.go.kr/forest,37.0388888851,127.6513841916,2020-03-13,4470000,충청북도 음성군
백야자연휴양림,충청북도,공유림,370000,310,무료+숙박시설별도,Y,"숙박시설, 캠핑장, 물놀이장, 산책로, 화장실 등",충청북도 음성군 금왕읍 백야로 461-97,충청북도 음성군,043-878-2556,www.eumseong.go.kr/forest,36.9568395144,127.6096487765,2020-03-13,4470000,충청북도 음성군
흥림산자연휴양림,경상북도,공유림,64,112,0,Y,"산림문화휴양관, 숲속의집",경상북도 영양군 일월면 재일로 2394-70,경상북도 영양군청 산림축산과 산지이용담당,054-680-5050,www.heungrimsan.kr,36.7011017649,129.1122790444,2020-03-13,5170000,경상북도 영양군
횡성자연휴양림,강원도,사유림,498263,300,숙박시설 이용객만 입장 가능(별도입장료 : 없음),Y,"숲속의집, 산림문화휴양관",강원도 횡성군 갑천면 정포로 430번길 113,사유휴양림(대표 : 이호준),033-343-3392,www.hsrf.co.kr,37.5381096666,128.1122409456,2020-01-25,4260000,강원도 횡성군
주천강자연휴양림,강원도,사유림,2296100,400,"일반 : 2000원, 청소년 : 1000원",Y,"숲속마을, 산골마을, 강변마을, 숲속학교, 황토별장",강원도 횡성군 둔내면 강변로 영랑6길 115,사유휴양림(대표 : 김문기),033-345-7575,www.joochun.com,37.4591283066,128.2033953673,2020-01-25,4260000,강원도 횡성군
숲체원,강원도,국유림,159710,300,별도 입장료 없음,Y,"탐방로, 숙박동, 강의실",강원도 횡성군 둔내면 청태산로 777,산림청,033-340-6300,www.soopchewon.or.kr,37.5372204598,128.2866886083,2020-01-25,4260000,강원도 횡성군
청태산휴양림,강원도,국유림,159520,1500,"일반 : 1000원, 청소년 : 600원, 어린이 : 300원",Y,"제1산림문화휴양관, 제2산림문화휴양관, 숲속의집, 숲속수련장(중형, 소형), 대형숲속수영장(회의실), 야영장, 인도네시아 전통 전시관, 숲생태체험실, BIY목공교실",강원도 횡성군 둔내면 청태산로 610,산림청,033-343-9707,www.huyang.go.kr,37.5290799289,128.2968658338,2020-01-25,4260000,강원도 횡성군
함평자연생태공원,전라남도,국유림,561867,,5000,Y,"과학관, 나비곤충표본전시관, 캠핑트레일러, 반달가슴곰관찰원",전라남도 함평군 대동면 학동로 1398-77,함평군산림공원사업소,061-320-2855,https://www.hampyeong.go.kr/ecopark/,35.1350012302,126.5057010459,2020-03-04,4960000,전라남도 함평군
순천자연휴양림,전라남도,공유림,90000,265,없음,Y,"관리사무실 1동, 숙박시설 13동 22실, 캐빈하우스 6동 텐트19면",전라남도 순천시 서면 청소년수련원길 170,순천시청,061-749-8950,www.foresttrip.go.kr,35.0438808260,127.4744948550,2020-01-01,4820000,전라남도 순천시
화왕산자연휴양림,경상남도,공유림,643000,70,"휴양관 4인실 : 50,000원(비수기및주중),75,000원(성수기및주말)  휴양관 8인실 : 80,000원(비수기및주중), 100,000원(성수기및주말)  숲속의 집(7인실) : 70,000원(비수기및주중), 90,000원(성수기및주말) 야영데크 : 5,000(1박)  주차료 : 경형 1,000원, 중소형 2,000원 대형 3,000원(산림휴양관, 숲속의 집 이용시 면제)",Y,"휴양관,야영데크,바비큐장,숲길",경상남도 창녕군 고암면 청간길 128-126,경상남도 창녕군산림조합,055-533-2332,www.hwawang.or.kr,35.5469782333,128.5673184615,2020-02-06,5410000,경상남도 창녕군
주작산자연휴양림,전라남도,공유림,1690000,138,0,Y,"휴양관,숲속의집,세미나실 등",전라남도 강진군 신전면 주작산길 262,강진군,061-430-3306,http://www.jujaksan.com/,34.5172932049,126.6989685,2020-01-23,4920000,전라남도 강진군
비학산자연휴양림,경상북도,공유림,2280000,150,"숙박 : 7만원, 11만원, 14만원",Y,"산림휴양관, 숲속의 집, 테라스하우스, 카라반, 야외데크, 생태숲 등",경상북도 포항시 북구 기북면 비학산길 302,포항시청,054-252-3275,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030052,36.1470333690,129.2111071159,2020-01-06,5020000,경상북도 포항시
성주산자연휴양림,충청남도,공유림,3000000,2000,"성인1000원, 청소년/군인800원, 어린이400원",Y,성주산자연휴양림,충청남도 보령시 성주면 화장골길 57-228,충청남도 보령시 산림공원과,041-934-7133,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030078,36.3325688218,126.6639659453,2019-12-27,4510000,충청남도 보령시
소선암자연휴양림,충청북도,공유림,665039,500,무료,Y,"통나무집, 숲속의집, 산림문화휴양관, 산림복합휴양관, 백두대간 문화휴양관",충청북도 단양군 단성면 대잠2길15,충청북도 단양군청,043-422-7839,sof.cbhuyang.go.kr,36.9192204110,128.3123141058,2019-12-20,4480000,충청북도 단양군
소백산자연휴양림,충청북도,공유림,1900000,220,무료,Y,"소백산화전민촌, 소백산자연휴양림, 정감록명당체험마을",충청북도 단양군 영춘면 하리방터길 180,충청북도 단양군청,043-423-3117,forestventure.co.kr,37.0612642366,128.4678946608,2019-12-20,4480000,충청북도 단양군
공주산림휴양마을,충청남도,공유림,518270,250,무료,Y,숲속의집/휴양관/야영장/목재문화체험장,충청남도 공주시 수원지공원길 222,공주시청,041-855-0855,http://jumisan.gongju.go.kr,36.4244257827,127.119320094,2020-07-07,4500000,충청남도 공주시
송정자연휴양림,경상북도,공유림,636297,500,"개인(성인 1,000원, 청소년·군인 700원, 어린이 500원), 단체(성인 800원, 청소년·군인 500원, 어린이 300원)",Y,"숲속의집, 산림휴양관, 야영장, 바비큐장, 숲만남의광장 등",경상북도 칠곡군 석적읍 반계3길 88,칠곡군청,054-979-6600,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030076,36.02333243,128.4416406,2020-06-30,5220000,경상북도 칠곡군
운주산승마자연휴양림,경상북도,공유림,699532,,무료,y,"숲속의집, 산림문화휴양관 등",경상북도 영천시 임고면 승마휴양림길 105,영천시,054-330-6287,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030081,36.03510258,128.996734,2020-06-26,5100000,경상북도 영천시
세심자연휴양림,전라북도,국유림,101.45,100,1000,Y,숲속의집,전라북도 임실군 삼계면 임삼로 485,전라북도 임실군청,063-644-4611,http://smhu.imsil.go.kr,35.514241,127.240066,2020-06-28,4760000,전라북도 임실군
가학산자연휴양림,전라남도,공유림,500000,700,2000,Y,"숲속의집(객식), 유아숲체험원, 족욕장, 수변쉼터 등",전라남도 해남군 계곡면 산골길 306,해남군청산림녹지과,061-530-5738,http://www.foresttrip.go.kr/main.do/id02030045,34.6713777488,126.6172037,2020-06-25,4930000,전라남도 해남군
옥성자연휴양림,경상북도,공유림,1531821,1900,0,Y,"숲속의집, 산림문화휴양관, 물놀이장, 산책로, 유아숲체험원",경상북도 구미시 옥성면 휴양림길 150,구미시설공단,054-481-4052,www.gumihy.com,36.27907203,128.2844292,2020-06-22,5080000,경상북도 구미시
변산자연휴양림,전라북도,국유림,55000,243,"숙박비 52,000원~144,000원",Y,"숲속의집, 휴양관, 체험교실, 물놀이장",전라북도 부안군 변산면 변산로 3768,국립자연휴양림관리소,063-581-9977,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0189,35.58287781,126.523728,2020-06-22,4790000,전라북도 부안군
아세안자연휴양림,경기도,공유림,583880,500,1000,Y,"숲속의집14동, 안내센터, 다목적광장 등",경기도 양주시 백석읍 기산로 472,산림청,031-871-2796,www.huyang.go.kr,37.7738229255,126.9421758102,2020-06-16,5590000,경기도 양주시
장흥 자연휴양림,경기도,사유림,499000,300,0,N,"물놀이장, 썰매장",경기도 양주시 장흥면 권율로 594,민간(㈜해성농림),080-233-7766,http://www.fes-artvalley.com/,37.7581669246,126.9685293171,2020-06-16,5590000,경기도 양주시
남해편백자연휴양림,경상남도,국유림,2270000,1000,"성인 : 1,000원",Y,"생태숲,숲속의집 등",경상남도 남해군 삼동면 금암로 658,함양국유림관리소,055-867-7881,www.huyang.go.kr,34.7521639140,128.0201315510,2020-06-19,5430000,경상남도 남해군
데미샘자연휴양림,전라북도,공유림,200,107,무료,Y,"휴양관,숲속의집, 숲문화마당, 명상의숲 등",전라북도 진안군 백운면 데미샘 1길 172,전라북도 산림환경연구소,063-290-6993,www.데미샘.kr,35.6569935310,127.4610391644,2020-06-16,4730000,전라북도 진안군
운장산자연휴양림,전라북도,국유림,1958,600,"일반인(개인 1,000/단체 800) 청소년(개인 600/단체 500) 어린이(개인 300/단체 200)",Y,"숲속의집,연립동, 산림문화휴양관, 숲속수련관",전라북도 진안군 정천면 휴양림길 77,무주국유림관리소,063-432-1193,www.huyang.go.kr,35.8884589528,127.4327884945,2020-06-16,4730000,전라북도 진안군
칠갑산자연휴양림,충청남도,공유림,73000,500,1000,Y,"숲속의 집, 산림문화 휴양관, 원두막, 기타시설 등",충청남도 청양군 대치면 칠갑산로 668-103,충청남도 청양군공공시설사업소,041-940-2429,http://chilgap.cheongyang.go.kr/,36.4315890035,126.8438226990,2020-05-25,4590000,충청남도 청양군
문수산 산림욕장,경기도,공유림,700000,,주차료(1000~5000원),N,"숲길,산림욕장",경기도 김포시 월곶면 문수산로 102-38,김포시 시설관리공단,031-988-2965,http://www.gp.or.kr/sub03/sub03_01.asp,37.737829,126.5308885,2020-06-12,4090000,경기도 김포시
충북알프스자연휴양림,충청북도,공유림,902000,287,0,y,"숲속의집,세미나실,목공예체험장 등",충청북도 보은군 산외면 속리산로 1880,속리산휴양사업소,043-540-3713,https://alpshuyang.foresttrip.go.kr/,36.576573,127.781092,2020-06-02,4420000,충청북도 보은군
속리산 숲체험휴양마을,충청북도,공유림,1100000,350,0,Y,"한옥마을 ,황토마을, 통나무마을",충청북도 보은군 속리산면 속리산로 596,속리산휴양사업소,043-540-3220,http://songnihuyang.foresttrip.go.kr/,36.49245442,127.792472,2020-06-02,4420000,충청북도 보은군
학가산우래자연휴양림,경상북도,사유림,1328133,220,1000,Y,"숲속의 집, 산림휴양관 등",경상북도 예천군 보문면 휴양림길 210,(주)학가산자연휴양림개발,054-652-0114,숲나들e (https://www.foresttrip.go.kr/main.do?hmpgId=FRIP),36.677929,128.592876,2020-05-31,5230000,경상북도 예천군
치악산자연휴양림,강원도,공유림,1700000,700,"일반(개인 2000, 청소년 및 군인 1500, 어린이 1000), 단체(어른 1500, 청소년 및 군인 1000, 어린이 700)",Y,"숲속의집,주차장,야영장",강원도 원주시 판부면 휴양림길 66,강원도 원주시 산림과,033-762-8288,https://foresttrip.go.kr/indvz/main.do?hmpgId=ID02030024,37.255878,128.031372,2020-05-26,4190000,강원도 원주시
거제자연휴양림,경상남도,국유림,345377,600,"개인(성인 1,000 청소년, 군인700 어린이500) 단체(성인700 청소년,군인500 어린이300)",Y,숲속의집 산림문화 휴양관 야영데크 숲속수련장,경상남도 거제시 동부면 거제중앙로 325,경상남도 거제해양관광개발공사,055-639-8115,www.geojehuyang.or.kr,34.7856966,128.625968,2020-05-14,B552833,거제해양관광개발공사
신안자연휴양림,전라남도,국유림,302000,561,무료,Y,"산림문화휴양관, 캠핑장, 관리동, 취사장, 샤워장, 테마공원",전라남도 신안군 자은면 자은서부2길 508-77,신안군청,061-240-3265,,34.8793261192,125.9961150082,2020-04-28,5010000,전라남도 신안군
봉수산자연휴양림,충청남도,공유림,948780,171,0,Y,"숲속의집,산림문화휴양관",충청남도 예산군 대흥면 임존성길 153,예산군 관광시설사업소 휴양림팀,041-339-8936,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030028,36.5988676688,126.7813385427,2020-03-30,4610000,충청남도 예산군
금강자연휴양림,충청남도,공유림,1840000,226,"1,500원",Y,"숲속의 집,휴양관",세종특별자치시 금남면 산림박물관길110,산림자원연구소,041-635-7400,keumkang.chungnam.go.kr,36.4377003679,127.2327428837,2020-03-31,6440000,충청남도
청옥산자연휴양림,경상북도,국유림,10016,1000,관리사무소로 문의,Y,"숲속의집, 휴양관, 숲속수련장, 야영장 등",경상북도 봉화군 석포면 청옥로 1552-163,국립자연휴양림관리소,054-672-1051,http://www.huyang.go.kr,37.0386891603,128.9958473115,2020-04-10,5240000,경상북도 봉화군
양을산산림욕장,전라남도,공유림,150000,,무료,N,"유아숲체험원, 화장실, 생태학습장, 실내교육장",전라남도 목포시 상동 산34-3,목포시청,061-270-8178,,34.8213604,126.4075568,2020-04-08,4800000,전라남도 목포시
데미샘자연휴양림,전라북도,공유림,200000,131,무료,Y,"휴양관, 숲속의집, 숲문화마당, 명상의숲 등",전라북도 진안군 백운면 데미샘 1길 172,산림환경연구소,063-290-6992,http://www.데미샘.kr,35.656988,127.461036,2020-04-03,6450000,전라북도
운장산자연휴양림,전라북도,국유림,1958000,600,"일반 : 1,000원,단체 : 800원,청소년 : 600원/단체 500원,어린이 : 300원/단체 : 200원",Y,"숲속의집, 연립동, 산림문화휴양관, 숲속수련관",전라북도 진안군 정천면 휴양림길 77,무주국유림관리소,063-432-1193,http://www.huyang.go.kr,35.8884589528,127.4327884945,2020-04-03,6450000,전라북도
반딧불자연휴양림,전라북도,공유림,31000,40,없음,Y,"통나무집, 목교, 평상, 평의자",전라북도 무주군 설천면 무설로 1324,시설사업소,063-320-5666,http://bandiland.muju.go.kr,36.0124886790,127.7611866322,2020-04-03,6450000,전라북도
